Party,Name,Local Electoral Area
Sinn Féin,Daithí Doolan,Ballyfermot-Drimnagh
People Before Profit,Bríd Smith,Ballyfermot-Drimnagh
Sinn Féin,Greg Kelly,Ballyfermot-Drimnagh
Independent,Paul Hand,Ballyfermot-Drimnagh
Independent,Vincent Jackson,Ballyfermot-Drimnagh
Sinn Féin,Daithí de Róiste,Ballyfermot-Drimnagh
Sinn Féin,Noeleen Reilly,Ballymun
Sinn Féin,Cathleen Carney Boud,Ballymun
Fine Gael,Noel Rock,Ballymun
Labour Party,Andrew Montague,Ballymun
Fianna Fáil,Paul McAuliffe,Ballymun
People Before Profit,Andrew Keegan,Ballymun
Labour Party,Áine Clancy,Ballymun
Sinn Féin,Larry O'Toole,Beaumont-Donaghmede
Fianna Fáil,Tom Brabazon,Beaumont-Donaghmede
People Before Profit,John Lyons,Beaumont-Donaghmede
Sinn Féin,Mícheál Mac Donncha,Beaumont-Donaghmede
Sinn Féin,Denise Mitchell,Beaumont-Donaghmede
Fine Gael,Declan Flanagan,Beaumont-Donaghmede
Solidarity,Michael O'Brien,Beaumont-Donaghmede
Independent,Paddy Bourke,Beaumont-Donaghmede
Labour Party,Alison Gilliland,Beaumont-Donaghmede
Independent,Cieran Perry,Cabra-Finglas
Sinn Féin,Anthony Connaghan,Cabra-Finglas
Sinn Féin,Emma Murphy,Cabra-Finglas
Sinn Féin,Séamas McGrattan,Cabra-Finglas
Labour Party,Brendan Carr,Cabra-Finglas
Fianna Fáil,David Costello,Cabra-Finglas
Independent,Teresa Keegan,Cabra-Finglas
Independent,Damian O'Farrell,Clontarf
Fianna Fáil,Seán Haughey,Clontarf
Fine Gael,Naoise Ó Muirí,Clontarf
Labour Party,Jane Horgan-Jones,Clontarf
Fianna Fáil,Deirdre Heney,Clontarf
Sinn Féin,Ciarán O'Moore,Clontarf
Sinn Féin,Críona Ní Dhálaigh,Crumlin-Kimmage
People Before Profit,Tina MacVeigh,Crumlin-Kimmage
Sinn Féin,Ray McHugh,Crumlin-Kimmage
Labour Party,Rebecca Moynihan,Crumlin-Kimmage
Fianna Fáil,Catherine Ardagh,Crumlin-Kimmage
United Left,Pat Dunne,Crumlin-Kimmage
Sinn Féin,Janice Boylan,North Inner City
Independent,Christy Burke,North Inner City
Independent,Nial Ring,North Inner City
Sinn Féin,Jonathan Dowdall,North Inner City
Green Party,Ciarán Cuffe,North Inner City
Independent,Gary Gannon,North Inner City
Fine Gael,Ray McAdam,North Inner City
Independent,Éilis Ryan,North Inner City
Sinn Féin,Chris Andrews,Pembroke-South Dock
Independent,Mannix Flynn,Pembroke-South Dock
Labour Party,Dermot Lacey,Pembroke-South Dock
Fianna Fáil,Frank Kennedy,Pembroke-South Dock
Green Party,Claire Byrne,Pembroke-South Dock
Fine Gael,Paddy McCartan,Pembroke-South Dock
Fine Gael,Kieran Binchy,Pembroke-South Dock
People Before Profit,Sonya Stapleton,Pembroke-South Dock
Fine Gael,Kate O'Connell,Rathgar-Rathmines
Green Party,Patrick Costello,Rathgar-Rathmines
Fianna Fáil,Jim O'Callaghan,Rathgar-Rathmines
Labour Party,Mary Freehill,Rathgar-Rathmines
Fine Gael,Paddy Smyth,Rathgar-Rathmines
Independent,Ruairí McGinley,Rathgar-Rathmines